,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,new norfolk,au,-84.36359780765176,130.20914164602908,69.33,52,20,5.82
1,kropotkin,ru,57.762121273372,115.31305123761456,36.68,93,68,5.14
2,iracoubo,gf,12.936719842186974,-50.28180362737169,77.22,77,36,6.26
3,mar del plata,ar,-62.70743205197007,-30.918227324520245,73.02,38,0,15.01
4,atuona,pf,-0.19531805510069944,-150.74221499554068,82.51,100,0,11.99
6,bluff,nz,-89.29346046457503,172.80354996680273,64,73,0,6.06
7,salinas,ec,-1.4263697871528649,-84.357989957208,48.38,100,12,2.01
8,avarua,ck,-53.557908734023876,-161.42492096339143,82.4,78,100,24.16
10,busselton,au,-46.15941598632477,93.85566556061417,69.53,42,68,20.71
11,cidreira,br,-53.44385967338346,-22.475666776808794,73.87,81,80,14.34
12,hobart,au,-75.90946585359937,149.80901489862748,69.31,52,20,5.82
13,yulara,au,-26.253272619845625,128.46430915227944,91.4,20,0,6.93
14,ponta do sol,cv,24.47111433310171,-31.49546542128951,69.8,77,75,19.46
15,ushuaia,ar,-74.69089818448397,-40.067383804468534,46.4,93,20,0.58
16,lavrentiya,ru,66.50220162755414,-172.78478335415883,14.52,100,0,13.78
18,puerto ayora,ec,-27.10857993798774,-101.58682184678212,78.12,78,0,6.93
19,nuuk,gl,64.22910013127654,-52.93471715643314,21.2,73,56,12.75
20,senneterre,ca,47.65365870552171,-76.945435498538,14,78,90,4.7
22,kavieng,pg,8.44846578198667,156.75449844091474,84.67,98,32,6.29
23,hithadhoo,mv,-4.853945126276017,78.691161001142,79.59,100,68,0.58
24,amapa,br,4.053966531234465,-48.513179747476016,80.26,85,0,2.48
25,yumen,cn,40.82435992170673,95.64184582563917,33.6,50,56,8.3
26,abalak,ne,16.833268064145926,5.422424466372405,71.64,23,12,12.53
27,novosergiyevka,ru,52.38622202699406,53.75710248755681,25.88,91,92,10.74
28,chapada dos guimaraes,br,-15.397825606245561,-55.34837876120656,82.4,88,0,5.82
30,pacific grove,us,30.506062811362995,-132.95706220045963,65.16,55,1,5.82
